scenario,random_state,include_engineered_features,train_rows,test_rows,test_event_rate,threshold,sample_size,outcome_rate,auroc,auprc,sensitivity,specificity,precision_ppv,npv,f1,true_negative,false_positive,false_negative,true_positive
primary split / engineered features,42,True,4746,1160,0.8732758620689656,0.75,1160,0.8732758620689656,0.7997730187830315,0.957306057997205,0.8864758144126358,0.4421768707482993,0.9163265306122449,0.3611111111111111,0.9011540391369794,65,82,115,898
alternative split seed 7,7,True,4746,1160,0.8732758620689656,0.75,1160,0.8732758620689656,0.9048357743887288,0.9815981259446656,0.8667324777887463,0.8775510204081632,0.9799107142857143,0.48863636363636365,0.9198533263488737,129,18,135,878
alternative split seed 2024,2024,True,4746,1160,0.8732758620689656,0.75,1160,0.8732758620689656,0.9496444184781514,0.9896876249054835,0.9466929911154985,0.8571428571428571,0.9785714285714285,0.7,0.9623682890115404,126,21,54,959
alternative split seed 2026,2026,True,4746,1160,0.8732758620689656,0.75,1160,0.8732758620689656,0.8143051890055134,0.9622957727415038,0.9506416584402764,0.3401360544217687,0.9084905660377358,0.5,0.9290882778581766,50,97,50,963
train IQR outlier removal,42,True,3768,1160,0.8732758620689656,0.75,1160,0.8732758620689656,0.858425502481348,0.9735993137517548,0.9002961500493584,0.5238095238095238,0.9287169042769857,0.43258426966292135,0.9142857142857143,77,70,101,912
train-derived 1st/99th percentile winsorization,42,True,4746,1160,0.8732758620689656,0.75,1160,0.8732758620689656,0.7993432318633278,0.9602293525563286,0.8657453109575518,0.4421768707482993,0.9144942648592284,0.32338308457711445,0.8894523326572008,65,82,136,877
primary split / raw features only,42,False,4746,1160,0.8732758620689656,0.75,1160,0.8732758620689656,0.8311575370523333,0.9704542420869278,0.9052319842053307,0.42857142857142855,0.916083916083916,0.39622641509433965,0.9106256206554121,63,84,96,917
