model,cv_strategy,n_iter,best_params,cv_mean_auroc,cv_std_auroc,cv_mean_auprc,cv_mean_f1,cv_mean_sensitivity,test_auroc,test_auprc,test_f1,test_sensitivity,test_specificity,test_ppv,test_npv,test_brier,rank_by_cv_auroc
Regularized Logistic Regression,GroupKFold (RandomizedSearchCV),5,"{""model__C"": 0.31489116479568624}",0.898421627618928,0.06434975468516048,0.9753239009450411,0.8495462498347051,0.8078980166416105,0.6997439600840336,0.940134937459054,0.8693213684800898,0.8140756302521008,0.5625,0.9326113116726835,0.2891566265060241,0.16981904014073698,1
Logistic Regression,GroupKFold (RandomizedSearchCV),10,"{""model__C"": 0.31489116479568624}",0.8948315234401594,0.05507923726192027,0.9737917490360968,0.9022990449823028,0.9223511105944331,0.7241662289915967,0.9472295695579451,0.9282296650717703,0.917016806722689,0.5625,0.9397201291711518,0.4768211920529801,0.10777196661165753,2
Gradient Boosting,GroupKFold (RandomizedSearchCV),10,"{""model__learning_rate"": 0.03574712922600244, ""model__max_depth"": 2, ""model__n_estimators"": 200, ""model__subsample"": 1.0}",0.8804845380111741,0.062278987102345154,0.9786895629982097,0.8783612784169691,0.8989572712971621,0.8896156118697478,0.9834067494141634,0.9553941908713693,0.967436974789916,0.5703125,0.9436475409836066,0.7019230769230769,0.07077575315456845,3
LightGBM (monotonic),GroupKFold (RandomizedSearchCV),12,"{""model__learning_rate"": 0.017240892195821537, ""model__min_child_samples"": 5, ""model__n_estimators"": 100, ""model__num_leaves"": 31}",0.869360074926988,0.11578597870698366,0.9702921951022727,0.9059165031273834,0.9515437075111801,0.7501682313550422,0.961397536147455,0.9003576903423608,0.9254201680672269,0.03125,0.8766169154228856,0.05333333333333334,0.11585402160735457,4
Random Forest,GroupKFold (RandomizedSearchCV),10,"{""model__n_estimators"": 200, ""model__min_samples_leaf"": 10, ""model__max_features"": ""sqrt"", ""model__max_depth"": 8}",0.8646500330193083,0.04321157708029876,0.9709312778427442,0.9119607850521474,0.9721163385697139,0.8698545824579831,0.9788050655940606,0.9406200735680504,0.9401260504201681,0.5625,0.9411146161934806,0.5581395348837209,0.08011290700922516,5
